#itemtraits																								
Id	ItemTraitType	TraitContext	IsNegative	Parameters	TooltipIconTag																			
perfect_throw	WeaponTrait	Passive	FALSE	BThrowAutoHit true	traits_perfect_throw																			
piercing_throw	WeaponTrait	Passive	FALSE	BPiercingThrow true	traits_piercing_throw																			
mutiliating	WeaponTrait	Passive	FALSE	BMutilate true	traits_mutiliating																			
cleave	WeaponTrait	Passive	FALSE	BMeleeCleave true	traits_cleave																			
offhand	WeaponTrait	Passive	FALSE	FOffHandCritBonus 0.05	traits_offhand																			
single_load	WeaponTrait	Passive	TRUE	BSingleLoad true	traits_single_load																			
extra_knockback	WeaponTrait	Passive	FALSE	BExtraKnockback true	traits_extra_knockback																			
painful_crits	WeaponTrait	Passive	FALSE	FPainCritMult 3	traits_painful_crits																			
suppressor	WeaponTrait	Passive	FALSE	BSuppressor true	traits_suppressor																			
wounding_pierce	WeaponTrait	Passive	FALSE	FPiercingTrauma 1	traits_wounding_pierce																			
piercing	WeaponTrait	Passive	FALSE	FPierce 0.5	traits_piercing																			
full_piercing	WeaponTrait	Passive	FALSE	FPierce 1	traits_piercing																			
armor_pen	AmmoTrait	Passive	FALSE	FArmorPenetration 0.25	traits_armor_pen																			
incendiary	AmmoTrait	Passive	FALSE	FIncendiaryChance 0.15	traits_incendiary																			
heavy_incendiary	AmmoTrait	Passive	FALSE	FIncendiaryChance 0.75	traits_incendiary																			
fires	AmmoTrait	Passive	FALSE	FFireSpread 0.12 IStartSpreadDistance 2	traits_fires																			
toxic	AmmoTrait	Passive	FALSE	FToxicSpread 0.2 IStartSpreadDistance 2	traits_toxic																			
heavy_fires	AmmoTrait	Passive	FALSE	FFireSpread 0.8 IStartSpreadDistance 2	traits_fires																			
heavy_toxic	AmmoTrait	Passive	FALSE	FToxicSpread 0.8 IStartSpreadDistance 2	traits_toxic																			
ammo_piercing	AmmoTrait	Passive	FALSE	FPierce 0.35	traits_piercing																			
painful	AmmoTrait	Passive	FALSE	FPainDamageMult 1.6	traits_painful																			
knockback	AmmoTrait	Passive	FALSE	FThrowbackChance 0.26	traits_knockback																			
heavy_knockback	AmmoTrait	Passive	FALSE	FThrowbackChance 0.8	traits_knockback																			
knockdown	AmmoTrait	Passive	FALSE	FStunChance 0.12 IEnemyStunDuration 1	traits_knockdown																			
heavy_knockdown	AmmoTrait	Passive	FALSE	FStunChance 0.60 IEnemyStunDuration 1	traits_knockdown																			
ramp_up	WeaponTrait	Passive	FALSE	IRampUpProjectiles 1	traits_ramp_up																			
unthrowable	WeaponTrait	Passive	TRUE	BUnthrowable true	traits_unthrowable																			
selfcharging	WeaponTrait	Passive	FALSE	BSelfcharging true	traits_selfcharging																			
critical_throw	WeaponTrait	Passive	FALSE	BThrowAutoCrit true	traits_critical_throw																			
wounding	AmmoTrait	Passive	FALSE	FDoWoundChance 0.5	traits_wounding_pierce																			
fragile	WeaponTrait	Passive	TRUE	IFragile 5	traits_fragile																			
unwieldy	WeaponTrait	Passive	TRUE	FUnwieldyMult 0.8	traits_unwieldy																			
heavy_weapon	WeaponTrait	Passive	TRUE	BHeavyWeapon true	traits_heavy_weapon																			
overheat	WeaponTrait	Passive	TRUE	IOverheatDurability 1	traits_overheat																			
overclock	WeaponTrait	Passive	FALSE	IOverclockDamage 10	traits_overclock																			
bipod	WeaponTrait	Passive	FALSE	FBipodScatter -0.5 FBipodAccuracy 0.3	traits_bipod																			
optic_sight	WeaponTrait	Passive	FALSE	IEffRangeStarts 4	traits_optic_sight																			
explosive	AmmoTrait	Passive	FALSE	SExplosive rocket_basic_explosion	trait_inherit_damage																			
explosive_light_flak	AmmoTrait	Passive	FALSE	SExplosive flak_low_explosion	trait_inherit_damage																			
explosive_flak	AmmoTrait	Passive	FALSE	SExplosive flak_explosion	trait_inherit_damage																			
explosive_fire	AmmoTrait	Passive	FALSE	SExplosive rocket_fire_explosion	traits_incendiary																			
explosive_poison	AmmoTrait	Passive	FALSE	SExplosive rocket_poison_explosion	traits_toxic																			
explosive_quasi	AmmoTrait	Passive	FALSE	SExplosive rocket_quasi_explosion	trait_inherit_damage																			
explosive_hfg	AmmoTrait	Passive	FALSE	SExplosive hfg_explosion	trait_inherit_damage																			
ricochet	AmmoTrait	Passive	FALSE	IRicochet 5 IMaxDistance 25	traits_ricochet																			
#end																								
																								
#explosions																								
Id		Parameters.VisualExplosion	Parameters.Radius	Parameters.DistanceDamageFalloff	Parameters.GainDmgToCreature	Parameters.GainDmgToLocation	Parameters.GainDmgToMonolith	Parameters.Damage	Parameters.DamageType	Parameters.WoundChance	Parameters.Throwback	Parameters.ThrowbackChance	Parameters.ThrowbackDependOnRadius	Parameters.Stun	Parameters.StunChance	Parameters.StunDuration	Parameters.StunDependOnRadius	Parameters.PropagateFire	Parameters.PropagateFireChance	Parameters.LargeFireChance	Parameters.FireDependOnRadius	Parameters.PropagateLiquid	Parameters.LiquidType	Parameters.Disintegrate
cattaram_explosion		TRUE	5	1	TRUE	TRUE	FALSE	90	explosion	1.1	TRUE	0.4	FALSE	FALSE	0	0	FALSE	TRUE	0.05	10	TRUE	FALSE	Red	FALSE
frag_big_explosion		TRUE	3	2	TRUE	TRUE	FALSE	125	explosion	1.5	TRUE	0.5	FALSE	FALSE	0	0	FALSE	TRUE	0.05	10	TRUE	FALSE	Red	FALSE
frag_explosion		TRUE	3	1	TRUE	TRUE	FALSE	100	explosion	1.2	TRUE	0.8	TRUE	FALSE	0	0	FALSE	TRUE	0.05	10	TRUE	FALSE	Red	FALSE
qwasi_explosion		TRUE	3	2	TRUE	TRUE	FALSE	85	chaos	1	FALSE	0	FALSE	FALSE	0	0	FALSE	TRUE	0.3	0	FALSE	FALSE	Red	FALSE
