#units_crtutorial2						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
1	2 3		worker_civ 1		60	75
1	2 3		worker_civ 0.75 miner_civ 0.25		60	75
1	2 2	drone_civ 1	worker_civ 1		60	75
1	2 3	medic_civ 1	worker_civ 1		30	90
1	2 3	drone_civ 1	worker 1		30	90
1	2 3	medic_civ 1	worker_civ 0.5 miner_civ 0.5		30	90
1	3 3	drone_civ 1	worker_civ 1		15	120
1	2 3	security_civ 1	worker 0.85 drone_civ 0.15		15	120
1	2 3	medic_civ 1	worker_civ 1		15	120
1	3 3	drone_civ 1	worker_civ 0.5 miner_civ 0.25 security_civ 0.25		10	150
1	2 3	drone_civ 1	drone_civ 1		10	150
#end						
						
#units_ComAndAnarchy1						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
6	2 3	warden 1	warden 0.5 soldier 0.5		60	45
6	2 3	combatmedic 1	warden 1		60	45
6	2 3	grenadier 1	warden 0.5 soldier 0.5		60	45
6	2 3	warrobot 1	soldier 1		30	60
6	2 3	combatmedic 1	warden 0.5 soldier 0.5		30	60
6	2 2	elite_rwa 1	soldier 1		30	60
6	2 3	grenadier 1	soldier 1		10	90
6	2 2	elite_rwa 1	warden 1		10	90
#end						
						
#units_ComAndAnarchy2						
TechLevel	UnitSize	LeaderSpawn	MobClasses	AllowedFactions	Weight	Points
3	2 2	possessed 1	possessed 1		60	45
3	1 2	venus_eagle_knight 1	bigpossessed_centaur 1		60	45
3	2 2	bigpossessed_arm 1	venus_custodian 1		60	45
3	1 2	venus_jaguar_knight 1	venus_jaguar_knight 1		30	60
3	2 2	venus_jaguar_knight 1	venus_demon_cat 0.75 bigpossessed_arm 0.25		30	60
3	2 2	bigpossessed_blob 1	bigpossessed_arm 1		30	60
3	2 2	venus_jaguar_knight 1	venus_jaguar_knight 1		20	60
3	1 2	venus_demon_warrior 1	venus_eagle_knight 1		20	60
